nom_destinataire,nb_transactions_recues,nb_fraudes_associees,nb_montants_aberrants,montant_total_recu,montant_moyen_recu
C410033330,11,2,0,1041510.79,94682.8
C803116137,43,1,11,23488297.91,546239.49
C716083600,49,1,7,23670606.41,483073.6
C932583850,47,1,6,17159677.2,365099.51
C991505714,31,1,6,17878031.24,576710.69
C766681183,39,1,6,24060320.76,616931.3
C1570256460,20,1,6,20888528.81,1044426.44
C1394526584,25,1,5,9323562.41,372942.5
C667346055,49,1,4,18159708.54,370606.3
C1364913072,8,1,3,4224529.23,528066.15
C1589547066,15,1,3,7718550.45,514570.03
C644345897,24,1,2,7005907.17,291912.8
C2094777811,20,1,2,7626815.84,381340.79
C1626759869,15,1,2,5335373.75,355691.58
C12793273,17,1,2,5647633.2,332213.72
C2072030256,11,1,2,5107782.93,464343.9
C553264065,6,1,1,1885464.84,314244.14
C431687661,5,1,1,2046556.55,409311.31
C124540047,13,1,1,5443025.31,418694.25
C2063275841,1,1,1,1096187.24,1096187.24
C268086000,1,1,1,963532.14,963532.14
C234430897,3,1,1,1300778.58,433592.86
C945327594,5,1,1,10169678.67,2033935.73
C449261773,1,1,1,2930418.44,2930418.44
C2127862399,19,1,1,5312126.13,279585.59
C7881234,15,1,1,4503353.32,300223.55
C978609035,17,1,1,4326075.92,254475.05
C382431057,6,1,1,1935895.76,322649.29
C79685693,15,1,1,3587613.95,239174.26
C1726301214,1,1,1,5460002.91,5460002.91
C277510102,8,1,1,2817820.5,352227.56
C1508330669,12,1,1,4115524.1,342960.34
C570409417,2,1,1,958171.94,479085.97
C254839817,3,1,1,1189265.96,396421.99
C582901057,5,1,1,1922461.44,384492.29
C575638324,3,1,1,3139054.65,1046351.55
C1013511446,2,1,1,3134107.8,1567053.9
C150406565,2,1,1,1165226.89,582613.44
C1195589213,3,1,1,1429655.48,476551.83
C38997010,3,1,0,582415.86,194138.62
C972765878,2,1,0,194612.91,97306.46
C1007251739,1,1,0,2806.0,2806.0
C1032986144,9,1,0,627584.7,69731.63
C1848415041,5,1,0,97252.33,19450.47
C339924917,7,1,0,567645.8,81092.26
C297927961,6,1,0,402773.52,67128.92
C1983025922,16,1,0,1953292.07,122080.75
C380242442,12,1,0,2327368.83,193947.4
C1136419747,1,1,0,35063.63,35063.63
C2089016471,7,1,0,130279.46,18611.35
